roster,capacity,hand_size,days,window,discard_limit,gain_threshold,budget,seed,focal_seats,opponent_revision,timeout,embarrassment,total_spent,budget_remaining,sockless_days,faults,fault_details,budget_exhausted_on_day,source_sha256,python_version
"2,2,2,2",28,4,730,40,1,6,120.0,4018,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,585.25,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4019,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,978.75,120.0,0.0,0,0,,704,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4020,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1936.25,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4021,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,981.25,120.0,0.0,0,0,,717,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4022,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1801.0,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4023,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,331.0,110.0,10.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4024,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,706.0,110.0,10.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4025,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1355.75,120.0,0.0,0,0,,730,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4026,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2057.25,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4027,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,846.25,120.0,0.0,0,0,,726,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4028,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,994.0,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4029,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,610.5,120.0,0.0,0,0,,718,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,120.0,4030,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1653.0,110.0,10.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4001,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,964.5,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4002,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,605.5,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4003,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,416.0,140.0,260.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4004,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1121.25,140.0,260.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4005,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,377.0,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4006,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,596.0,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4007,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,907.25,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4008,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,417.25,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4009,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,860.25,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4010,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,761.75,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4011,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,932.25,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4012,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,515.25,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4013,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,462.75,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4014,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,215.0,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4015,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,640.5,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4016,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,213.0,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4017,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,225.75,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4018,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,256.5,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4019,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,580.0,140.0,260.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4020,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,141.25,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4021,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,498.5,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4022,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,471.0,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4023,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,468.25,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4024,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1178.0,140.0,260.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4025,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,186.5,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4026,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,187.25,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4027,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1528.25,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4028,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,949.25,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4029,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,579.25,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,1,6,400.0,4030,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,208.75,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4001,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,680.75,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4002,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1385.25,110.0,10.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4003,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,676.0,120.0,0.0,0,0,,726,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4004,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,307.5,110.0,10.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4005,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,546.0,120.0,0.0,0,0,,721,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4006,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1636.25,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4007,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1247.25,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4008,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2351.25,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4009,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,305.5,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4010,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1178.75,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4011,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1658.0,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4012,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1539.5,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4013,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,691.0,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4014,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1210.75,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4015,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1592.75,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4016,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1132.5,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4017,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,916.75,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4018,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,585.25,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4019,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,978.75,120.0,0.0,0,0,,704,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4020,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,321.75,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4021,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1368.5,110.0,10.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4022,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1708.5,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4023,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,331.0,110.0,10.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4024,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,706.0,110.0,10.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4025,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,997.0,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4026,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2057.25,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4027,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1126.75,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4028,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1033.0,120.0,0.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4029,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,610.5,120.0,0.0,0,0,,718,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,120.0,4030,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1653.0,110.0,10.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,400.0,4001,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,964.5,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,400.0,4002,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,605.5,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,400.0,4003,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,416.0,140.0,260.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,400.0,4004,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1121.25,140.0,260.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,400.0,4005,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,377.0,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,400.0,4006,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,596.0,130.0,270.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,400.0,4007,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,907.25,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
"2,2,2,2",28,4,730,40,2,6,400.0,4008,"0,1,2,3",8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,417.25,120.0,280.0,0,0,,,2e946b33c5250f1bfeb1ff11bcb23e627d2bf252c21c483961896468dd31d0ee,3.13.13
